PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1018.0,10,18.0,13.5,75,9.64,100,12,289.7,317.0,291.4
1010.0,76,17.4,11.8,70,8.66,90,14,289.7,314.4,291.2
1000.0,159,16.6,9.6,63,7.55,100,16,289.8,311.4,291.1
990.0,245,16.4,7.4,55,6.56,107,17,290.4,309.3,291.5
978.0,347,15.4,7.0,57,6.45,115,18,290.4,309.1,291.6
946.0,628,12.8,5.8,62,6.14,125,22,290.5,308.3,291.6
925.0,817,11.0,5.0,66,5.94,130,21,290.6,307.8,291.6
865.0,1372,6.0,5.1,94,6.40,126,19,291.0,309.5,292.1
850.0,1515,5.2,4.4,95,6.20,125,18,291.6,309.6,292.7
792.0,2086,2.4,1.6,95,5.47,120,17,294.6,310.7,295.5
773.0,2282,1.4,0.7,95,5.24,135,17,295.6,311.2,296.5
710.0,2969,-1.9,-2.6,95,4.47,126,18,299.1,312.8,299.9
705.0,3025,-2.2,-3.0,95,4.39,125,18,299.4,312.8,300.2
700.0,3082,-2.5,-3.3,94,4.30,125,17,299.7,312.8,300.5
688.0,3218,-3.2,-4.4,92,4.04,145,15,300.4,312.8,301.1
668.0,3450,-4.4,-6.2,87,3.61,130,14,301.6,312.8,302.2
636.0,3837,-6.4,-9.3,80,2.99,160,16,303.6,313.0,304.1
616.0,4088,-7.7,-11.3,75,2.63,149,16,304.9,313.3,305.4
591.0,4405,-9.9,-13.2,77,2.36,135,17,305.9,313.6,306.4
522.0,5352,-16.4,-18.7,82,1.68,160,16,309.1,314.7,309.4
509.0,5545,-17.8,-19.9,84,1.56,140,16,309.7,315.0,310.0
502.0,5650,-18.5,-20.5,84,1.50,157,19,310.1,315.1,310.4
501.0,5665,-18.5,-20.6,83,1.48,160,19,310.2,315.3,310.5
500.0,5680,-18.5,-20.8,82,1.47,160,20,310.4,315.4,310.7
482.0,5951,-20.4,-25.4,64,1.01,135,16,311.3,314.8,311.5
469.0,6153,-21.9,-28.9,53,0.75,129,15,311.9,314.6,312.1
461.0,6278,-22.9,-29.3,56,0.74,125,14,312.2,314.9,312.4
446.0,6518,-24.8,-30.1,61,0.71,155,20,312.8,315.3,312.9
433.0,6733,-26.5,-30.8,67,0.68,149,18,313.3,315.7,313.4
414.0,7055,-28.6,-36.9,45,0.39,140,15,314.7,316.1,314.8
411.0,7107,-28.9,-37.9,42,0.36,136,15,314.9,316.2,315.0
400.0,7300,-30.5,-40.5,37,0.28,120,16,315.3,316.3,315.3
390.0,7479,-32.1,-43.0,33,0.22,105,13,315.4,316.3,315.5
389.0,7498,-32.3,-43.3,33,0.21,106,13,315.4,316.3,315.5
