PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1010.0,32,15.8,12.2,79,8.91,90,4,288.1,313.3,289.7
1006.0,66,15.6,11.6,77,8.57,15,10,288.3,312.6,289.8
1000.0,116,15.4,10.6,73,8.08,25,16,288.6,311.5,290.0
993.0,176,16.8,9.3,61,7.45,30,18,290.5,311.9,291.8
987.0,228,18.0,8.2,53,6.94,40,18,292.2,312.4,293.5
984.0,254,18.6,7.6,49,6.70,39,18,293.1,312.6,294.3
966.0,411,17.2,7.1,51,6.60,35,16,293.3,312.5,294.4
950.0,553,16.0,6.7,54,6.51,60,10,293.4,312.4,294.6
925.0,780,14.0,6.0,59,6.38,50,10,293.6,312.3,294.8
866.0,1330,9.3,4.9,74,6.31,80,10,294.3,312.9,295.4
857.0,1418,8.6,4.7,77,6.30,70,14,294.4,313.0,295.6
850.0,1486,8.0,4.6,79,6.29,80,13,294.5,313.0,295.6
845.0,1534,7.6,4.4,80,6.26,90,10,294.6,313.0,295.7
818.0,1801,5.4,3.5,88,6.06,45,3,295.0,312.9,296.1
805.0,1932,4.3,3.1,92,5.97,70,10,295.2,312.8,296.2
797.0,2014,3.6,2.8,95,5.91,100,15,295.3,312.8,296.3
773.0,2261,2.6,0.9,88,5.33,80,24,296.9,312.8,297.8
754.0,2463,1.9,-0.6,84,4.89,95,33,298.1,312.9,299.0
740.0,2614,1.3,-1.7,80,4.58,105,25,299.1,313.0,299.9
733.0,2691,1.0,-2.3,79,4.43,105,26,299.6,313.1,300.4
703.0,3026,-1.4,-3.8,84,4.11,105,29,300.5,313.1,301.2
700.0,3060,-1.7,-4.0,84,4.08,100,31,300.6,313.1,301.3
689.0,3184,-2.5,-4.7,84,3.92,90,30,301.1,313.2,301.8
656.0,3569,-4.9,-7.0,85,3.46,100,31,302.6,313.4,303.2
609.0,4152,-8.6,-10.5,86,2.84,70,36,304.8,313.9,305.4
586.0,4454,-10.5,-12.3,87,2.55,76,39,306.0,314.2,306.4
575.0,4601,-9.3,-15.3,62,2.03,79,40,309.1,315.8,309.4
573.0,4627,-9.4,-15.6,61,1.99,80,40,309.2,315.8,309.6
553.0,4899,-11.0,-18.7,53,1.59,75,36,310.5,315.9,310.8
502.0,5640,-15.1,-27.1,35,0.83,99,33,314.2,317.2,314.4
500.0,5670,-15.5,-27.5,35,0.80,100,33,314.1,316.9,314.2
493.0,5776,-16.5,-27.8,37,0.79,105,32,314.1,316.9,314.3
470.0,6133,-19.9,-28.9,45,0.75,94,32,314.2,316.9,314.4
429.0,6805,-24.3,-38.3,26,0.33,73,31,316.9,318.2,317.0
423.0,6906,-25.2,-39.0,26,0.31,70,31,317.0,318.2,317.1
400.0,7310,-28.9,-41.9,27,0.24,70,33,317.4,318.3,317.4
369.0,7880,-34.1,-46.1,29,0.17,61,35,317.8,318.5,317.9
337.0,8507,-39.1,-57.1,13,0.05,50,37,319.4,319.6,319.4
336.0,8527,-39.3,-57.1,13,0.05,50,37,319.4,319.6,319.4
300.0,9290,-46.1,-58.1,24,0.05,75,35,320.3,320.5,320.3
282.0,9691,-49.8,-60.3,28,0.04,85,32,320.6,320.8,320.6
254.0,10370,-56.1,-64.1,36,0.03,76,31,321.1,321.2,321.1
250.0,10470,-56.9,-64.9,36,0.02,75,31,321.4,321.4,321.4
234.0,10883,-60.2,-67.7,37,0.02,50,31,322.4,322.5,322.4
222.0,11212,-62.9,-69.9,38,0.01,50,34,323.3,323.3,323.3
221.0,11240,-63.1,-70.1,38,0.01,55,36,323.3,323.4,323.3
213.0,11466,-63.6,-70.6,38,0.01,65,46,326.0,326.1,326.0
211.0,11524,-63.7,-70.7,38,0.01,69,42,326.7,326.8,326.7
203.0,11766,-56.8,-72.7,12,0.01,85,28,341.2,341.3,341.2
202.0,11797,-55.9,-72.9,10,0.01,83,27,343.1,343.2,343.1
200.0,11860,-56.1,-77.1,6,0.01,80,25,343.8,343.8,343.8
194.0,12054,-56.2,-79.9,4,0.00,80,17,346.6,346.6,346.6
