PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
191.0,12153,-56.2,-81.3,3,0.00,65,14,348.1,348.1,348.1
187.0,12287,-56.3,-83.3,2,0.00,45,15,350.1,350.1,350.1
185.0,12355,-56.8,-83.6,2,0.00,35,15,350.3,350.4,350.3
179.0,12564,-58.4,-84.5,2,0.00,35,19,351.0,351.0,351.0
178.0,12599,-58.7,-84.7,2,0.00,39,18,351.1,351.2,351.1
172.0,12817,-53.9,-82.5,2,0.00,60,13,362.5,362.5,362.5
171.0,12855,-53.1,-82.1,2,0.00,52,13,364.5,364.5,364.5
163.0,13160,-54.9,-83.2,2,0.00,350,10,366.4,366.4,366.4
150.0,13690,-58.1,-85.1,2,0.00,15,14,369.8,369.8,369.8
146.0,13860,-58.5,-85.5,2,0.00,35,14,371.9,371.9,371.9
138.0,14215,-59.5,-86.5,2,0.00,25,23,376.2,376.2,376.2
137.0,14261,-59.4,-86.5,2,0.00,25,24,377.2,377.2,377.2
127.0,14738,-58.4,-85.9,2,0.00,15,11,387.3,387.3,387.3
123.0,14940,-58.0,-85.7,2,0.00,35,10,391.6,391.6,391.6
119.0,15148,-57.5,-85.5,2,0.00,17,10,396.2,396.2,396.2
113.0,15473,-58.6,-86.3,2,0.00,350,10,400.0,400.0,400.0
111.0,15585,-59.0,-86.6,2,0.00,0,10,401.3,401.3,401.3
108.0,15757,-59.6,-87.1,2,0.00,325,10,403.3,403.3,403.3
104.0,15994,-60.4,-87.7,2,0.00,305,12,406.1,406.1,406.1
100.0,16240,-61.3,-88.3,2,0.00,315,14,409.0,409.0,409.0
98.0,16366,-61.0,-88.2,2,0.00,340,10,412.0,412.0,412.0
91.7,16780,-59.9,-87.9,1,0.00,306,10,422.0,422.1,422.0
84.0,17323,-61.5,-88.8,2,0.00,260,10,429.6,429.6,429.6
80.0,17625,-62.3,-89.2,2,0.00,285,10,433.9,433.9,433.9
71.5,18320,-64.3,-90.3,2,0.00,310,5,443.8,443.8,443.8
70.0,18450,-63.9,-89.9,2,0.00,315,4,447.3,447.4,447.3
64.1,18991,-61.5,-88.5,2,0.00,219,1,464.0,464.0,464.0
63.0,19098,-61.6,-88.6,2,0.00,200,1,466.0,466.0,466.0
51.0,20398,-63.2,-89.2,2,0.00,280,10,491.4,491.5,491.4
50.0,20520,-63.3,-89.3,2,0.00,280,6,493.9,493.9,493.9
47.0,20901,-63.5,-89.5,2,0.00,185,10,502.3,502.3,502.3
46.0,21033,-63.5,-89.5,2,0.00,215,10,505.3,505.3,505.3
40.0,21893,-63.9,-89.9,2,0.00,210,10,525.0,525.0,525.0
39.6,21955,-63.9,-89.9,2,0.00,226,10,526.4,526.4,526.4
39.0,22050,-63.4,-89.7,2,0.00,250,10,529.9,529.9,529.9
37.0,22376,-61.8,-88.9,2,0.00,325,13,542.1,542.1,542.1
36.0,22546,-61.0,-88.5,2,0.00,320,13,548.5,548.6,548.5
35.0,22721,-60.1,-88.1,1,0.00,283,12,555.2,555.3,555.2
34.0,22901,-61.0,-88.6,2,0.00,245,10,557.6,557.6,557.6
33.0,23087,-61.9,-89.0,2,0.00,235,16,560.0,560.0,560.0
32.5,23182,-62.3,-89.3,2,0.00,242,14,561.2,561.3,561.2
32.0,23278,-61.9,-89.1,2,0.00,250,12,564.9,564.9,564.9
30.0,23680,-60.1,-88.1,1,0.01,305,14,580.2,580.3,580.2
29.0,23892,-59.3,-87.7,1,0.01,285,10,588.0,588.1,588.0
28.0,24112,-58.5,-87.3,1,0.01,270,7,596.2,596.2,596.2
27.5,24225,-58.1,-87.1,1,0.01,260,8,600.4,600.5,600.4
27.0,24340,-58.1,-87.1,1,0.01,250,10,603.7,603.7,603.7
23.0,25350,-57.8,-86.8,1,0.01,245,25,632.8,632.9,632.9
22.0,25630,-57.7,-86.7,1,0.01,280,14,641.2,641.3,641.2
21.0,25923,-57.6,-86.6,1,0.01,255,23,650.0,650.1,650.0
20.0,26230,-57.5,-86.5,1,0.01,255,26,659.4,659.5,659.4
18.0,26891,-59.1,-87.3,1,0.01,270,9,674.4,674.5,674.4
17.6,27032,-59.5,-87.5,2,0.01,254,10,677.6,677.7,677.6
17.0,27250,-58.2,-86.6,2,0.01,230,11,688.6,688.8,688.6
16.1,27593,-56.1,-85.1,1,0.02,230,29,706.1,706.3,706.1
16.0,27632,-56.0,-85.1,1,0.02,230,31,707.6,707.8,707.6
15.0,28044,-55.3,-84.7,1,0.02,260,23,723.1,723.3,723.1
14.0,28484,-54.6,-84.3,1,0.02,275,25,740.0,740.2,740.0
13.1,28907,-53.9,-83.9,1,0.03,266,33,756.6,756.9,756.6
13.0,28956,-54.2,-84.1,1,0.03,265,34,757.1,757.4,757.1
12.5,29207,-55.9,-84.9,2,0.02,280,32,759.8,760.1,759.8
12.1,29415,-52.9,-83.9,1,0.03,292,30,777.5,777.8,777.5
12.0,29468,-53.0,-83.9,1,0.03,295,30,778.9,779.3,779.0
11.0,30026,-54.2,-84.3,1,0.03,280,47,794.3,794.7,794.3
10.9,30085,-54.3,-84.3,1,0.03,279,47,795.9,796.3,796.0
10.0,30640,-51.1,-82.1,1,0.05,270,49,827.7,828.3,827.7
9.8,30772,-50.1,-81.1,1,0.06,274,49,836.2,837.0,836.3
9.0,31325,-51.9,-81.9,2,0.05,290,49,849.9,850.6,850.0
8.5,31699,-47.7,-80.7,1,0.07,285,57,880.3,881.2,880.4
8.0,32099,-48.2,-80.4,1,0.08,280,66,893.7,894.8,893.8
7.9,32182,-48.3,-80.3,1,0.08,278,65,896.5,897.6,896.6
7.0,32990,-44.2,-78.5,1,0.12,260,59,945.1,946.8,945.2
6.4,33590,-41.1,-77.1,1,0.17,275,62,982.6,985.0,982.7
6.0,34026,-43.0,-77.4,1,0.17,285,65,992.7,995.1,992.8
5.9,34139,-43.5,-77.5,1,0.17,284,67,995.3,997.8,995.4
5.0,35265,-38.7,-75.4,1,0.28,275,83,1065.4,1069.7,1065.6
