PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1019.0,10,11.0,10.0,94,7.62,0,0,282.6,303.7,283.9
1017.0,26,14.2,12.4,89,8.97,5,1,286.0,311.0,287.5
1008.0,99,16.2,10.2,68,7.80,26,4,288.7,310.9,290.1
1000.0,164,15.6,9.6,67,7.55,45,7,288.8,310.3,290.1
955.0,553,11.8,8.5,80,7.34,33,6,288.7,309.6,290.0
945.0,641,12.6,1.6,47,4.57,30,6,290.4,303.8,291.2
925.0,820,11.6,0.6,47,4.34,25,6,291.2,304.0,291.9
864.0,1387,8.6,-1.4,49,4.01,341,3,293.8,305.8,294.5
850.0,1522,7.4,1.4,66,5.01,330,2,293.9,308.7,294.8
841.0,1610,6.6,2.3,74,5.40,330,2,293.9,309.9,294.9
826.0,1757,6.4,-0.6,61,4.45,329,3,295.2,308.6,296.0
782.0,2204,2.6,-1.2,76,4.50,328,4,295.8,309.3,296.6
741.0,2637,-0.7,-4.1,78,3.83,326,5,296.8,308.4,297.5
726.0,2801,0.0,-8.0,55,2.90,326,5,299.3,308.4,299.8
700.0,3092,-1.9,-12.9,43,2.03,325,6,300.4,306.9,300.7
660.0,3559,-3.5,-25.5,16,0.73,319,7,303.6,306.2,303.8
600.0,4304,-9.1,-35.1,10,0.32,309,9,305.5,306.7,305.6
576.0,4618,-11.1,-26.1,28,0.79,305,9,306.8,309.5,306.9
569.0,4712,-11.5,-38.5,9,0.24,303,9,307.4,308.3,307.4
551.0,4957,-13.1,-43.0,6,0.16,300,10,308.3,308.9,308.3
536.0,5167,-14.5,-46.9,5,0.11,270,10,309.1,309.5,309.1
532.0,5224,-14.9,-47.9,4,0.09,271,10,309.3,309.6,309.3
503.0,5645,-18.3,-36.9,18,0.32,275,7,310.1,311.3,310.2
500.0,5690,-18.7,-35.7,21,0.37,270,8,310.2,311.5,310.2
485.0,5912,-20.4,-36.5,22,0.35,255,16,310.8,312.1,310.8
466.0,6202,-22.7,-37.6,24,0.32,295,15,311.6,312.8,311.6
437.0,6670,-26.3,-39.4,28,0.29,265,19,312.7,313.8,312.8
407.0,7187,-30.3,-41.3,33,0.25,269,25,314.0,314.9,314.0
400.0,7310,-30.7,-43.7,27,0.20,270,27,315.0,315.8,315.0
